time,CoPx,CoPy,Mx,My,displacement,work
0,0.00161,-0.00204,4.745303,7.4726669999999995,0.0,0.0
1,0.00154,-0.00196,4.81967,7.540342,0.00010273095930633652,0.10055026759785439
2,0.00143,-0.00183,4.9430320000000005,7.6419939999999995,0.0002697448808817545,0.26039804564934926
3,0.00131,-0.00168,5.086404,7.761027,0.0004642589677752233,0.4467428482948752
4,0.0012,-0.00158,5.189922,7.862311,0.0006153049872527325,0.5915683466713696
5,0.00109,-0.00143,5.330437,7.9657659999999995,0.0007995279228497968,0.7660601867384621
6,0.001,-0.00127,5.484801,8.049725,0.0009844620732925957,0.9417797308335918
7,0.00095,-0.00113,5.617958,8.105692000000001,0.0011350237550047763,1.0862203474827878
8,0.00088,-0.00098,5.754535,8.170713000000001,0.001294558108671941,1.2374850405542377
9,0.00081,-0.00079,5.9391419999999995,8.231314000000001,0.0014973573443706981,1.431784360290566
10,0.00072,-0.00051,6.207829,8.318394999999999,0.001789927216367115,1.7142304693627217
11,0.00062,-0.00016,6.550147,8.425188,0.0021609464746273855,2.0728198696145976
12,0.00051,0.00016,6.860621,8.531203,0.002500227316998421,2.4008949904345096
13,0.00035,0.00046,7.142301000000001,8.680367,0.002833327557166453,2.719632376531592
14,0.00021,0.00078,7.447633000000001,8.811757,0.0031807390710804277,3.0520341850766117
15,0.00015,0.00106,7.716479,8.876729000000001,0.003470861889900319,3.328619673669198
16,0.00015,0.00127,7.917129,8.871585,0.0036826817426053944,3.529335600381555
17,0.00016,0.00139,8.031239,8.863126,0.003803384890865909,3.6437587046088034
18,0.00018,0.00152,8.150834,8.835581000000001,0.0039336453223099985,3.7664847859851758
19,0.00014,0.00166,8.289836,8.876907,0.004084982726807367,3.9114999378831747
20,0.00011,0.00183,8.450787,8.902884,0.004254254106550074,4.0745337654466605
21,7e-05,0.00199,8.601811000000001,8.94813,0.004418379089413745,4.232189875673954
22,3e-05,0.00217,8.778828,8.986145,0.004605421464291739,4.413242792010586
23,4e-05,0.00234,8.941406,8.976976,0.004773887543963582,4.576079141284942
24,5e-05,0.00249,9.085917,8.968446,0.004923721618859782,4.720841671039709
25,7e-05,0.00262,9.206102,8.946484,0.005051249654993019,4.843016806271883
26,0.00011,0.00271,9.294377,8.911978,0.005150430499917832,4.937796232631195
27,0.00013,0.00283,9.408161,8.888435,0.005273400577579026,5.053990343949281
28,0.00019,0.00294,9.511658,8.823975,0.005401256003744675,5.175919506207537
29,0.0003,0.00302,9.589592,8.722637,0.005534599357534808,5.303759635275056
30,0.00042,0.00304,9.602385,8.606591,0.0056559567223710625,5.4205086608170285
31,0.00053,0.00303,9.597753,8.502457,0.005764250258650934,5.524745628251812
32,0.0006,0.00299,9.559156,8.43199,0.0058451740499610326,5.605090674757492
33,0.00072,0.00296,9.527415999999999,8.319574,0.005968950340097713,5.7219015674687475
34,0.00082,0.00291,9.485034,8.228606000000001,0.006079233793072311,5.822257987034212
35,0.00091,0.00282,9.404663,8.138231999999999,0.006211436100162617,5.9431999463246115
36,0.00096,0.00268,9.272088,8.098654,0.006357707423394479,6.081556546127438
37,0.00097,0.00254,9.133088,8.084145,0.00650272414656805,6.221311728789835
38,0.00103,0.00244,9.03259,8.029140000000002,0.006619054710049878,6.335877858291532
39,0.00109,0.00235,8.954653,7.972410999999999,0.006719124785497039,6.43227472240028
40,0.00116,0.00226,8.860758,7.897673,0.0068442520806807836,6.55228322072019
41,0.00119,0.00209,8.704175000000001,7.868905,0.007009873395734129,6.711486969774663
42,0.00128,0.00187,8.496208,7.791528,0.007242960890036162,6.933382154981555
43,0.00133,0.00164,8.268767,7.737534999999999,0.007487617424794587,7.16714411195916
44,0.00134,0.00142,8.062777,7.730284,0.007701613149050937,7.373261692725576
45,0.00138,0.00116,7.80683,7.690293,0.0079698127761946,7.632314094548065
46,0.00146,0.00095,7.608722,7.612041,0.008192555699763453,7.845316806192776
47,0.00159,0.00082,7.485324,7.4929749999999995,0.00837204887512118,8.016792106921482
48,0.00169,0.00076,7.431505,7.3938369999999995,0.008490820252144433,8.129596485404766
49,0.00175,0.00072,7.394578,7.342700000000001,0.008560483011205499,8.192672598934374
50,0.00176,0.00074,7.412445,7.330743,0.00858246595914248,8.21417142536746
51,0.00177,0.00076,7.427283,7.320933999999999,0.008602009244434364,8.231958575926221
52,0.00176,0.00072,7.392358,7.3215580000000005,0.008636000419759732,8.266889149940972
53,0.00175,0.00062,7.29284,7.333678000000001,0.008739596993062133,8.367142462724141
