time,CoPx,CoPy,Mx,My,displacement,work
0,-0.00134,0.00149,13.574644000000001,3.069683,0.0,0.0
1,-0.00134,0.00146,13.556447,3.071135,3.071172414567372e-05,0.01825483807104366
2,-0.00136,0.00135,13.507386,3.0815449999999998,0.00013315160895623524,0.06840810138461079
3,-0.00137,0.00121,13.431875999999999,3.085327,0.0002754822802818486,0.14401275483927717
4,-0.00137,0.00114,13.389448999999999,3.082761,0.0003455137731975333,0.1865172803042203
5,-0.00142,0.00103,13.327878000000002,3.110788,0.0004718107248630456,0.25416711969796635
6,-0.00145,0.00093,13.276411999999999,3.123646,0.0005736031607313327,0.30721499731809665
7,-0.00151,0.00088,13.248696,3.1545490000000003,0.0006521316905787728,0.34872610504843693
8,-0.0015,0.0008,13.207023000000001,3.1518819999999996,0.0007323753819195875,0.39048435953781846
9,-0.00153,0.00071,13.15762,3.167172,0.0008317547560371566,0.44219935261526333
10,-0.00154,0.00063,13.115969000000002,3.1688389999999997,0.0009117228746845249,0.4838836984779471
11,-0.00154,0.00045,13.022343999999999,3.169995,0.0010857711725791076,0.5775158348468272
12,-0.00157,0.00032,12.948706999999999,3.185022,0.00122474980403013,0.6526704654293799
13,-0.00158,0.00028,12.926661999999999,3.1917809999999998,0.0012649916976237498,0.675728351412271
14,-0.00157,0.00022,12.892707000000001,3.184894,0.0013289255697104603,0.7103747479637135
15,-0.00158,0.00026,12.912417,3.1894180000000003,0.0013701426778089194,0.7305972768856839
16,-0.00156,0.00027,12.922569999999999,3.17875,0.0013967518867411672,0.7453244501718236
17,-0.00162,0.00025,12.913436999999998,3.2115769999999997,0.0014632906724229033,0.7793982468196876
18,-0.00162,0.00017,12.878269,3.211159,0.0015383323275219235,0.8145687308652607
19,-0.00164,2e-05,12.80087,3.2216,0.0016862450382671445,0.892668792849871
20,-0.00161,-0.00012,12.722793,3.205414,0.001830822284056378,0.9724058891413717
21,-0.00154,-0.00023,12.658435,3.1693089999999997,0.0019646654758892104,1.0461996774233122
22,-0.00153,-0.00028,12.632324,3.161968,0.0020137581433661367,1.0733229995280988
23,-0.00156,-0.00042,12.567961,3.177074,0.0021528858544807784,1.1394349273853321
24,-0.00154,-0.00055,12.503618,3.170109,0.002292648260012451,1.2041538031017731
25,-0.00158,-0.00071,12.429418,3.1912480000000003,0.002453819535368827,1.281306232233978
26,-0.00156,-0.00085,12.360399,3.1837869999999997,0.00259372596838747,1.3507273304822782
27,-0.00159,-0.00103,12.269683,3.200855,0.0027749280103185688,1.4430350185694563
28,-0.00158,-0.00117,12.193999,3.195958,0.0029163659118867104,1.518877278985402
29,-0.00157,-0.00134,12.102163000000001,3.186444,0.0030859414997524205,1.6112047780959042
30,-0.00157,-0.0015,12.016668,3.1881589999999997,0.0032463163730960948,1.6967169775179767
31,-0.00162,-0.00168,11.921398,3.2138999999999998,0.0034324948895796017,1.795403207464205
32,-0.00166,-0.00185,11.828199000000001,3.233739,0.003612548770404205,1.8906903499441836
33,-0.00171,-0.00192,11.792647,3.2555259999999997,0.0036927059285374614,1.9323870893011172
34,-0.00177,-0.00203,11.735462,3.2884389999999994,0.0038199191747031016,1.9983673120500596
35,-0.00188,-0.0021,11.704944000000001,3.3461510000000003,0.003948467259091785,2.0636514852316203
36,-0.002,-0.00222,11.6465,3.4074370000000003,0.004115424529074257,2.1483372274318286
37,-0.0021,-0.00225,11.633685,3.4629959999999995,0.004225546143664672,2.205355002783029
38,-0.00222,-0.00231,11.602825,3.5251759999999996,0.004360500839766737,2.274771801902551
39,-0.00231,-0.00242,11.548081,3.573467,0.004504018434506891,2.347771296537788
40,-0.00235,-0.0025,11.508377,3.5910470000000005,0.004585293092303773,2.3911932266653175
41,-0.00238,-0.0026,11.450688,3.6064239999999996,0.004696094716840601,2.4508964330281247
42,-0.00241,-0.00266,11.418364,3.6192610000000003,0.00475651805670195,2.485676161966113
43,-0.00234,-0.00277,11.360979,3.585527,0.004889584205665538,2.552242076524542
44,-0.00231,-0.00279,11.357562999999999,3.572306,0.0049213856207283935,2.5658972549195687
