time,CoPx,CoPy,Mx,My,displacement,work
0,0.00075,0.00122,37.141408999999996,1.515788,0.0,0.0
1,0.00074,0.00108,37.057769,1.519423,0.0001430966806044095,0.08371895140886111
2,0.00075,0.00099,37.008070000000004,1.516865,0.00023201574492697196,0.13348373780446102
3,0.00075,0.00089,36.958653,1.518663,0.00033087422964123023,0.18293343641831034
4,0.00083,0.00083,36.922458999999996,1.473436,0.00044100033917025887,0.24086000342344316
5,0.00088,0.00078,36.896338,1.4488480000000001,0.0005053295704730005,0.2767330627437715
6,0.00097,0.0007,36.843962,1.403828,0.0006247950885106212,0.3457985807393694
7,0.00102,0.00065,36.826157,1.374741,0.0006977304023167632,0.37990241621281506
8,0.00108,0.0006,36.806597,1.348157,0.0007742771200778758,0.4129070015912169
9,0.00109,0.0006,36.823147,1.343649,0.0007840023450110066,0.4300599769599416
10,0.00106,0.00063,36.861951999999995,1.3597110000000001,0.000829157300442284,0.4720577848670184
11,0.00106,0.00072,36.946965999999996,1.3604420000000002,0.0009197628190380037,0.557074927591296
12,0.00115,0.00084,37.030724,1.31193,0.0010726726290568468,0.6538675755972294
13,0.00117,0.00085,37.032539,1.3006030000000002,0.0010951141085089689,0.6653390686996986
14,0.00123,0.00085,37.032303,1.273931,0.0011467175967631558,0.6920121127704456
15,0.00131,0.00076,36.973938,1.231285,0.0012679940165651962,0.7642973432189973
16,0.00139,0.00055,36.83764,1.185956,0.0014968660550495794,0.9079353014507929
17,0.00141,0.00035,36.70531,1.175885,0.0016924416158949928,1.0406479758304499
18,0.0015,0.00027,36.609207,1.128189,0.0018139388175088585,1.147935883000829
19,0.00152,0.00016,36.530736,1.116549,0.0019216066400000857,1.2272654956369693
20,0.00155,0.00013,36.500217,1.1004,0.0019674829955658828,1.2617937385983464
21,0.00154,0.00015,36.501912,1.107133,0.0019894886766505466,1.268736815293875
22,0.00153,0.00019,36.527736999999995,1.1134609999999998,0.00203688572297202,1.2953258019048737
23,0.00154,0.0002,36.541964,1.106911,0.0020538149875750675,1.3109881781294492
24,0.0016,0.00018,36.552600999999996,1.078049,0.0021141513779211916,1.3417479052576262
25,0.00163,0.00016,36.55923,1.058483,0.00215788969064585,1.3624063659214813
26,0.00164,0.00017,36.588066,1.0545740000000001,0.0021723896906458502,1.3915061112296434
27,0.0017,0.00021,36.628588,1.023902,0.002240819216436989,1.4423274066480036
28,0.00176,0.00018,36.633158,0.997325,0.0022986158426361015,1.4692944574507891
29,0.00176,0.00012,36.611875,0.994825,0.0023616390923142973,1.4907237852283972
30,0.00176,6e-05,36.576004999999995,0.99443,0.0024229430889213706,1.526595960030048
31,0.00168,3e-05,36.564771,1.038807,0.0025141652901664612,1.5723728197410405
32,0.00166,7e-05,36.59057,1.0453800000000002,0.00256408762985522,1.5989959812738104
33,0.00173,0.0001,36.61452,1.014058,0.002630610708557277,1.6384252874305256
34,0.00184,5e-05,36.575755,0.9534420000000001,0.002758220465237558,1.7103768314097887
35,0.00194,2e-05,36.542733,0.903922,0.002858035494166068,1.7698972723019746
36,0.00198,-7e-05,36.482519,0.881594,0.0029576083820422425,1.834117715931705
37,0.00205,-0.00016,36.417927,0.846046,0.003066479911837687,1.9078455042343565
38,0.00206,-0.00032,36.326295,0.840799,0.0032252887906826606,1.99962760724469
39,0.00206,-0.00039,36.276284,0.8382970000000001,0.0033025142398558412,2.0497011544028503
40,0.00205,-0.00048,36.226629,0.844819,0.0033898426430245838,2.099782643088785
41,0.0021,-0.0005,36.222757,0.818151,0.003445571450655821,2.126730270219945
42,0.00212,-0.00044,36.258505,0.8093769999999999,0.003509185049830827,2.163539271564723
43,0.00217,-0.00042,36.282633,0.782155,0.003565633699061792,2.19991505565249
44,0.0022,-0.00053,36.254012,0.765837,0.003677968066020449,2.232861053360856
45,0.00225,-0.00068,36.191254,0.742699,0.003840428214980125,2.299748523099218
46,0.00227,-0.00082,36.134239,0.731069,0.00397382596608561,2.357937586719455
47,0.00226,-0.00101,36.031192999999995,0.738458,0.004172064332705188,2.461248164285362
48,0.00223,-0.00114,35.959649,0.7506809999999999,0.004301551706607044,2.5338287792248857
