time,CoPx,CoPy,Mx,My,displacement,work
0,-9e-05,0.00368,17.929223999999998,12.205009,0.0,0.0
1,-0.00018,0.00379,18.04647,12.294512000000001,0.00014253213672712497,0.1475039373203321
2,-0.00028,0.00391,18.167032,12.391988999999999,0.00029683835824783993,0.30254251759311285
3,-0.00036,0.00407,18.327316000000003,12.480799000000001,0.00047934545400030724,0.48578600794407123
4,-0.00042,0.0042,18.460169999999998,12.542488,0.0006193719157852142,0.6322637128585001
5,-0.00052,0.00432,18.574613,12.641916,0.0007707999514985503,0.7838655843278202
6,-0.00063,0.00438,18.627678,12.740331000000001,0.0008938551423683396,0.8956752728615077
7,-0.00078,0.00438,18.620815,12.87482,0.001042014684754242,1.0303392691262836
8,-0.00088,0.00429,18.520705,12.967258000000001,0.0011818301345443147,1.166599299744218
9,-0.00104,0.00421,18.441271,13.116204999999999,0.001359568959790798,1.3354038292006258
10,-0.00128,0.00418,18.408408,13.338884000000002,0.001598026712862491,1.5604947304161154
11,-0.00145,0.00428,18.499926,13.497971000000001,0.0017945684132723541,1.7440273375817068
12,-0.00162,0.00447,18.681632999999998,13.663927999999999,0.002049169375564328,1.990115044909803
13,-0.00171,0.00471,18.922637,13.762164000000002,0.0023013810525342898,2.2503711489919214
14,-0.00178,0.00502,19.232528,13.841033000000001,0.002618178337876193,2.5701409897242797
15,-0.00178,0.00537,19.586908,13.850627,0.0029747790249198404,2.924650833361945
16,-0.00182,0.00574,19.944167999999998,13.891713999999999,0.0033450351794939402,3.284265695636848
17,-0.00187,0.00607,20.249987,13.930178000000002,0.003674676514887422,3.5924940850772145
18,-0.00186,0.00633,20.494615,13.922066000000001,0.00393433267214159,3.837256547329904
19,-0.00184,0.00646,20.620034999999998,13.900303,0.004073402474758837,3.964550712824634
20,-0.00185,0.00659,20.726847999999997,13.90203,0.0041980455251066215,4.071377673363628
21,-0.00185,0.00668,20.804234,13.888442000000001,0.004289529294158838,4.149947557797809
22,-0.00179,0.00682,20.931853,13.833147,0.004437028616191179,4.289030792538736
23,-0.00177,0.00702,21.136918,13.818132,0.004643095644121414,4.494644762030112
24,-0.00177,0.00726,21.375636,13.827307,0.0048840358234191,4.733539015098283
25,-0.00175,0.00751,21.619791,13.812071,0.005133347395553246,4.9781689391079995
26,-0.00174,0.00782,21.918928,13.801620600000001,0.005442416724345349,5.277488426661284
27,-0.00173,0.0081,22.190191,13.795490000000001,0.00572391139569811,5.548820694232538
28,-0.00171,0.00842,22.49754,13.780697,0.006039665619739532,5.856525488881568
29,-0.00166,0.00869,22.760427,13.730500999999999,0.006318019225787667,6.124161833919008
30,-0.00162,0.00885,22.913863,13.691515999999998,0.006487023663599222,6.282473034789318
31,-0.00161,0.00903,23.061593,13.670017999999999,0.006660286036894753,6.431759058595968
32,-0.00164,0.00912,23.130535000000002,13.687735,0.006754686513588462,6.502941159246346
33,-0.00171,0.00914,23.147476,13.751406,0.006831968982493125,6.568827377243738
34,-0.00176,0.00921,23.205832,13.785914,0.006912626096252547,6.636622840218778
35,-0.00176,0.00932,23.308784,13.793868,0.0070195038301357066,6.739881643330182
36,-0.00177,0.00946,23.449985,13.800425999999998,0.007161554666106499,6.8812348525792135
37,-0.0017,0.00964,23.619991,13.73445,0.007350128948552434,7.063594038286977
38,-0.00162,0.00992,23.8910234,13.666909,0.007639678339848635,7.342915266500591
39,-0.00152,0.01024,24.206054,13.573917,0.007976795189027077,7.671384124994605
40,-0.0015,0.0105,24.466937,13.561157,0.008238552729510625,7.932578989586158
41,-0.0015,0.01076,24.727258,13.564854,0.008502952748421371,8.192926240099773
42,-0.0015,0.01098,24.942578,13.571235000000001,0.008716853893813348,8.408340769695622
43,-0.00154,0.01116,25.130598,13.608307,0.008903453143543889,8.59998067572774
44,-0.00158,0.01134,25.318944,13.658403000000002,0.009090914206167568,8.79487507003399
45,-0.00161,0.01148,25.461265,13.692366999999999,0.009230090425400597,8.941192602602717
46,-0.00162,0.01162,25.594432,13.70778,0.009365296527333904,9.075248600073923
47,-0.00165,0.01179,25.757900999999997,13.732339999999999,0.009545888941349558,9.24055228291553
48,-0.00169,0.012,25.936352,13.76183,0.009751305834520494,9.421423561732817
49,-0.00179,0.01226,26.172683999999997,13.851336,0.010032574531676787,9.674137111547621
50,-0.00191,0.01247,26.368779,13.959710000000001,0.010272259428989908,9.898186599163642
51,-0.00199,0.01254,26.432187,14.03782,0.010379964071415384,9.998793490398784
52,-0.00202,0.01243,26.33524,14.063680999999999,0.010486097996246231,10.099130483227949
53,-0.00204,0.01227,26.174353000000004,14.080042,0.010652529393524509,10.260847238977002
54,-0.00202,0.01214,26.057342,14.062195,0.010777710582207152,10.37921146300606
55,-0.00201,0.01211,26.023933,14.054283000000002,0.010817906228737592,10.413544552366034
56,-0.00199,0.01215,26.066983,14.040676999999999,0.010867223264333823,10.458693480769709
57,-0.00201,0.01223,26.131218,14.051553000000002,0.010945321919892037,10.523842714080624
58,-0.00202,0.01241,26.29215,14.051733000000002,0.011124036552756834,10.684774814744227
59,-0.00192,0.01269,26.549521,13.953234,0.011419120439134931,10.9603503663485
60,-0.00176,0.01301,26.868236000000003,13.806937999999999,0.011778739710031249,11.311037935048908
61,-0.00152,0.01342,27.269775,13.581314,0.012251547207856737,11.771624254751302
62,-0.00139,0.01375,27.591611999999998,13.458032,0.012611072144404952,12.116265381277142
63,-0.00132,0.01404,27.868972000000003,13.389876000000001,0.012904769573743383,12.401876672958691
64,-0.00124,0.01435,28.168854,13.317094,0.013231055736490135,12.71046447804502
65,-0.00123,0.01469,28.484428,13.297862,0.013571499711322998,13.026623962008417
66,-0.00121,0.01497,28.727898,13.277562,0.013843610424085284,13.270938781247855
67,-0.00123,0.0152,28.935651999999997,13.288029,0.014082400645828138,13.47895628677323
68,-0.00132,0.0154,29.106786999999997,13.36666,0.01429753848536363,13.667291154458423
69,-0.00138,0.01551,29.215948000000004,13.41764,0.014424416221787318,13.787769718199039
70,-0.0015,0.01554,29.244806,13.532430999999999,0.014546529939280484,13.906132541099641
71,-0.00161,0.01548,29.19899,13.646001000000002,0.014674567824298941,14.028595803982846
72,-0.00169,0.01538,29.103113,13.726575,0.014808021636533738,14.153833851735913
73,-0.00175,0.01523,28.976478000000004,13.784143,0.014965589780522297,14.292939918638112
74,-0.00186,0.01505,28.809145,13.894687999999999,0.015176485323386533,14.493490485613128
75,-0.002,0.01481,28.580842999999998,14.031286,0.015455277145361277,14.75953712965887
76,-0.00214,0.01457,28.364089999999997,14.166327999999998,0.01573156122018283,15.014915681563684
77,-0.00221,0.01446,28.274137000000003,14.249234000000001,0.01586873993573302,15.137246981912366
78,-0.00222,0.01437,28.200625000000002,14.25933,0.015957838981743626,15.21144902608906
79,-0.00218,0.01434,28.170564000000002,14.227292,0.016001180647609164,15.255381897210807
80,-0.00212,0.01423,28.069077,14.162188,0.016127454001884717,15.37595611495656
81,-0.00209,0.01408,27.923996,14.136472000000001,0.016278637202009606,15.523298604473332
82,-0.00204,0.01387,27.726454,14.089628999999999,0.01650033902879504,15.726318574951607
83,-0.00199,0.01364,27.515621,14.04958,0.01673841080368656,15.940921641774988
84,-0.00197,0.01341,27.299646000000003,14.036554,0.016964015081128277,16.157289100744674
85,-0.00196,0.01323,27.120438,14.022089,0.01714357100556409,16.337079933350235
86,-0.00198,0.01308,26.95643,14.029901,0.017300757041839584,16.501273877842717
87,-0.00198,0.01286,26.743845,14.030753,0.01751610199766628,16.713860585162344
88,-0.00198,0.01256,26.454604999999997,14.024286,0.01781727000725561,17.00317287264596
89,-0.00199,0.01217,26.076300000000003,14.032952,0.018210394682136238,17.381577117575894
90,-0.002,0.01175,25.656283000000002,14.036873,0.018630141760744297,17.80161241910423
91,-0.002,0.01129,25.202401000000002,14.021906999999999,0.019083964071786842,18.25574109148685
92,-0.00204,0.01093,24.840995,14.056652,0.01945173383672137,18.618813414669162
93,-0.00205,0.0107,24.621181999999997,14.067004,0.019680044173762866,18.838870041183796
94,-0.00205,0.01051,24.449763,14.072389999999999,0.019865654949312132,19.010373634606786
95,-0.00202,0.01037,24.313384000000003,14.046787,0.0200148405049132,19.14913510350215
96,-0.00197,0.01027,24.231348,14.002244999999998,0.02012550328094923,19.242483349656005
97,-0.00193,0.01024,24.223805000000002,13.973814999999998,0.0201751493281232,19.27189698168267
98,-0.00194,0.01027,24.27217,13.990557,0.020206449487867203,19.32307771818577
99,-0.00191,0.0103,24.320589000000002,13.975825,0.020246260164827036,19.373688303886787
100,-0.00189,0.01022,24.263453,13.971086,0.020325021195800482,19.43102049917879
101,-0.00186,0.01009,24.134822,13.936850999999999,0.020467157257375298,19.56412936209182
102,-0.00187,0.00987,23.913085000000002,13.946380999999999,0.020683285228725607,19.786071061799195
103,-0.00187,0.00966,23.697587000000002,13.936724000000002,0.02089519997573487,20.0017853303421
104,-0.00193,0.0095,23.521131,13.980557999999998,0.021068799198083358,20.183604304852462
105,-0.00199,0.00939,23.411748,14.032,0.021189918808386565,20.304479943642917
106,-0.002,0.00932,23.341833,14.039601999999999,0.021257394433615233,20.374807019716076
107,-0.00201,0.00925,23.274575,14.052287999999999,0.021328394715304816,20.443250961449444
108,-0.00202,0.00921,23.2174355,14.047237,0.021376345210609868,20.500613275395533
109,-0.00201,0.00922,23.217925,14.036045000000001,0.021388557090072095,20.51181597481353
110,-0.002,0.00923,23.231502,14.02944,0.02140523551925472,20.52691435068645
111,-0.00202,0.00918,23.190645,14.044253000000001,0.02145435272601569,20.570373750337158
112,-0.00203,0.00899,23.013515,14.060948,0.021646434791810498,20.748288786028354
113,-0.00207,0.00876,22.791953,14.095217,0.021879760079767035,20.97248531634272
114,-0.00212,0.00855,22.579454000000002,14.144801000000001,0.022101530794695765,21.190692552833628
115,-0.00221,0.00837,22.409305999999997,14.223678999999999,0.02229513663138464,21.378234763516986
116,-0.00224,0.00827,22.31577,14.259055,0.022405487798120655,21.478236986852266
117,-0.00226,0.00815,22.203841,14.283282,0.02252888297630846,21.592757939389347
118,-0.00224,0.00806,22.118734,14.259037000000001,0.02262242574727447,21.681250998292292
119,-0.00219,0.00803,22.093205,14.213579999999999,0.022680256534922574,21.733386098656634
120,-0.00217,0.00804,22.106898,14.194318,0.022704836608152736,21.75701918759989
121,-0.00213,0.0081,22.173301000000002,14.166141,0.02277454457039522,21.829153102910237
122,-0.00209,0.0082,22.281953,14.135606000000001,0.022881683032209832,21.94201427129423
123,-0.00207,0.00824,22.3397508,14.130317999999999,0.022927161048877227,22.000053470365547
124,-0.00203,0.00814,22.2541401,14.100889,0.0230385881550947,22.090581134620678
125,-0.00196,0.008,22.1208355,14.03435,0.023194934085646154,22.23956957344115
126,-0.00187,0.00784,21.958021,13.941749999999999,0.023376647046108527,22.42687499624105
127,-0.0018,0.0077,21.809335,13.865405999999998,0.02353862902041431,22.59401545493373
128,-0.00171,0.00756,21.669418999999998,13.772428999999999,0.02370806234063203,22.762007149921907
129,-0.00162,0.00744,21.554015,13.68865,0.023856700760968092,22.90461501806739
130,-0.00159,0.0074,21.519438,13.651715000000001,0.02390354870649402,22.9552091200359
131,-0.00158,0.00743,21.542844,13.648647,0.023931363271024138,22.978815336590017
132,-0.00158,0.00756,21.665652,13.646528,0.024060473185438174,23.101641616453087
133,-0.0016,0.00772,21.824678,13.661750000000001,0.02422438941404291,23.261394481716902
134,-0.00157,0.0079,21.993461,13.643208999999999,0.02439790258357191,23.431192802586104
135,-0.0015,0.00807,22.158877,13.568492,0.024588178698730912,23.612700607225463
136,-0.00146,0.00814,22.216551000000003,13.523151000000002,0.024668601643218168,23.686063380871232
137,-0.00143,0.00808,22.151843,13.499024,0.024733304347952977,23.755123046328
138,-0.00143,0.0079,21.978460000000002,13.489929,0.024908200545738977,23.928744426676154
139,-0.0014,0.00772,21.798669999999998,13.456603000000001,0.025090420742204682,24.1115970076697
140,-0.00145,0.00763,21.705182999999998,13.506413,0.025197916323509217,24.2175255461709
141,-0.00154,0.00755,21.618922,13.5785312,0.02531171988232879,24.329962172286415
142,-0.00161,0.00752,21.57855,13.644533000000001,0.025393739636047026,24.40733229563671
143,-0.00167,0.00757,21.626185999999997,13.702459999999999,0.025474928921054348,24.4823304677811
144,-0.00173,0.00773,21.791846,13.7661611,0.025638637747939154,24.659815863634424
145,-0.00177,0.00795,22.029232,13.817161000000002,0.02586748540468923,24.902618464106517
146,-0.00168,0.00816,22.249738,13.74821,0.026091970526690666,25.133653388819212
147,-0.00164,0.00832,22.420578499999998,13.724687,0.02625466391930389,25.306105724173793
148,-0.00158,0.00838,22.493588,13.673022,0.026342632095367736,25.39554653876786
149,-0.00155,0.00835,22.4594234,13.640042,0.026389726256364612,25.44303232920205
150,-0.00153,0.00821,22.313992,13.613128,0.026522779704271835,25.590933159159018
