time,CoPx,CoPy,Mx,My,displacement,work
0,-0.00742,0.01424,66.943412,-7.0762,0.0,0.0
1,-0.00739,0.01403,66.76624899999999,-7.097146,0.00021493561826741781,0.17839692678127222
2,-0.00733,0.01381,66.574545,-7.139127,0.00044294250412834713,0.37464378147452604
3,-0.00731,0.01351,66.344143,-7.154449,0.0007397428073626954,0.605554684829043
4,-0.00727,0.01321,66.12005,-7.180123,0.0010414269468198407,0.83111360601151
5,-0.00716,0.01282,65.844525,-7.259731,0.0014463739680460766,1.117908758148015
6,-0.0071,0.01251,65.626909,-7.309728,0.0017706816306135818,1.341194278200263
7,-0.007,0.0122,65.402726,-7.379554999999999,0.002093963086933,1.5760002138535132
8,-0.00697,0.01192,65.217168,-7.407259999999999,0.002376874539511348,1.7636150810389262
9,-0.00691,0.01156,64.982291,-7.454737,0.002739770116778437,2.003242438946989
10,-0.00686,0.01126,64.77650700000001,-7.491589,0.0030400958066552656,2.212300145238811
11,-0.00682,0.01098,64.56434,-7.521521,0.0033286665085638244,2.4265681095101956
12,-0.0068,0.01073,64.392109,-7.538606,0.0035728776467209514,2.599644435407179
13,-0.00673,0.01055,64.29212199999999,-7.594342,0.0037712746477063575,2.7141167109371196
14,-0.00667,0.01041,64.227811,-7.636291,0.003914042326121321,2.790899673383216
15,-0.00665,0.01033,64.17467400000001,-7.656404,0.004006183793441966,2.8477158113899406
16,-0.00663,0.01027,64.122738,-7.669661,0.004066492084745899,2.9013170813842346
17,-0.00666,0.01028,64.11048,-7.642864,0.00410090167643194,2.930784652933313
18,-0.00671,0.01023,64.085317,-7.605073,0.004167681987901712,2.9761865939711103
19,-0.00676,0.01018,64.040002,-7.5717609999999995,0.004240995356396138,3.03242838065148
20,-0.00677,0.01008,63.942109,-7.560506999999999,0.00433732546591544,3.1309661498823687
21,-0.0068,0.00997,63.828282,-7.536523,0.004453573906765199,3.2472924933519374
22,-0.00682,0.00992,63.753783,-7.51666,0.0045083433325427205,3.3243939834153626
23,-0.00681,0.00986,63.695568,-7.5235650000000005,0.004562867088832995,3.383017061209007
24,-0.0068,0.00977,63.607597999999996,-7.528649,0.00465602716611935,3.4711338471013726
