time,CoPx,CoPy,Mx,My,displacement,work
0,0.00076,-0.00563,27.200274,-7.343573999999999,0.0,0.0
1,0.00071,-0.00562,27.200454,-7.312657,4.5621486166059724e-05,0.03091752397912837
2,0.00072,-0.00563,27.200562,-7.316979999999999,5.169602318545315e-05,0.0352418728318454
3,0.00077,-0.00566,27.176512000000002,-7.347882,0.00010959680038230912,0.07439970862495353
4,0.00078,-0.00564,27.186270999999998,-7.3544160000000005,0.00012874046774256258,0.08614412163710164
5,0.00074,-0.00565,27.180417999999996,-7.330204999999999,0.00016515928156179727,0.11105255655381359
6,0.00075,-0.00561,27.208087999999996,-7.338792,0.00020846343840614444,0.14002436127840806
7,0.00076,-0.00558,27.229973,-7.341562000000001,0.00023671268618374316,0.16208396519598114
8,0.00076,-0.00554,27.261843,-7.3414410000000005,0.00028062407422830345,0.1939541948939275
9,0.00078,-0.00552,27.279948,-7.356886,0.00030921358279350694,0.21775207400110982
10,0.00086,-0.00546,27.332103999999998,-7.413831,0.00040765950703621086,0.29497241692316384
11,0.00091,-0.00546,27.338333,-7.451501,0.00046048374389771256,0.33315394833561557
12,0.00096,-0.00545,27.350287,-7.486987999999999,0.000512712567357559,0.37060024701786176
13,0.00114,-0.00561,27.263673,-7.611396999999999,0.0007482690998502946,0.5221904323103145
14,0.00126,-0.00591,27.076368000000002,-7.70191,0.001075421556665157,0.7302187145077107
15,0.00132,-0.00622,26.857488,-7.733366999999999,0.0013876810000771976,0.9513476299597631
16,0.00145,-0.0065,26.649356,-7.818236000000001,0.0016994000562800564,1.1761179050964008
17,0.00152,-0.00666,26.529500000000002,-7.862926,0.0018787656605635985,1.3040345061925822
18,0.00156,-0.00681,26.425806,-7.885340000000001,0.002027076583964405,1.4101233040555057
19,0.00156,-0.0069,26.364366999999998,-7.887461999999999,0.0021164573984605826,1.471598938293799
20,0.00162,-0.00702,26.281135,-7.931445999999999,0.0022583630361216705,1.5657379741928341
21,0.00166,-0.00711,26.21517,-7.956124,0.002357000554338621,1.636167974256726
22,0.0016,-0.0072,26.139,-7.912255,0.002465542619916905,1.7240676788125446
23,0.00152,-0.00733,26.047672,-7.851423,0.002617453021140786,1.8338006994034324
24,0.00152,-0.00742,25.986151,-7.849467,0.002705575719692295,1.8953527861024215
25,0.00152,-0.00758,25.872842,-7.8526679999999995,0.0028679224166097265,2.0087069915030162
26,0.0015,-0.00767,25.804955999999997,-7.835291,0.002959576658191877,2.0787817310672856
27,0.00147,-0.00768,25.790947,-7.810982,0.002997064923022354,2.1068384515099874
28,0.00135,-0.00763,25.833852,-7.7328339999999995,0.003127862170699817,2.1959897214336412
29,0.00121,-0.00754,25.900563,-7.6421220000000005,0.0032916022391009277,2.3085908957836434
30,0.00109,-0.00744,25.981223,-7.566895,0.003448169828339567,2.4188865762475693
31,0.00098,-0.0073,26.085964999999998,-7.495749999999999,0.003623132281454512,2.5455060754923524
32,0.00089,-0.00727,26.114741,-7.434270000000001,0.0037229022669210848,2.613387211134001
33,0.00072,-0.00726,26.129669999999997,-7.327301,0.0038844285186574504,2.7213929609902006
34,0.00052,-0.00725,26.140935000000002,-7.188687,0.004092204215022544,2.860463954446781
35,0.00039,-0.00726,26.140251999999997,-7.10795,0.004216762835759931,2.94120384333697
36,0.00027,-0.00737,26.070182,-7.029137,0.004382477198444646,3.0466613886763128
37,0.00024,-0.00747,25.998604,-7.007510999999999,0.004485377975895546,3.1214350067511383
38,0.00035,-0.00764,25.885359,-7.081092,0.004687957170286279,3.2564853439813723
39,0.00047,-0.00782,25.75913,-7.159004,0.004897844854536693,3.404822932558916
40,0.00056,-0.00796,25.646428000000004,-7.217038,0.005069523449591522,3.5315891976297102
41,0.00062,-0.00807,25.560085,-7.253972,0.005195350155818779,3.6254999744607033
42,0.00077,-0.00817,25.474687,-7.346451999999999,0.005371540620941043,3.751378363408132
43,0.00089,-0.00828,25.393949,-7.42218,0.005528755187696161,3.8620732351411986
44,0.00092,-0.00832,25.370593,-7.444771,0.005583310205797162,3.8945671732989533
45,0.00094,-0.00829,25.40556,-7.46478,0.005618533209644081,3.9348542825275903
46,0.00103,-0.0083,25.431677999999998,-7.5351550000000005,0.005709678642881299,4.009919524477509
47,0.00114,-0.00841,25.381335999999997,-7.6150720000000005,0.005860848911122113,4.104370802144887
48,0.00124,-0.00854,25.287385,-7.684329,0.006030691338094882,4.22108979138828
