time,CoPx,CoPy,Mx,My,displacement,work
0,0.00909,-0.00052,-5.444026,-6.940358000000001,0.0,0.0
1,0.00891,-0.00059,-5.494445000000001,-6.8317250000000005,0.00019283205127779002,0.11976311723565027
2,0.00876,-0.00071,-5.580566,-6.736634,0.00039489078036416257,0.2480562383372903
3,0.00859,-0.00088,-5.696342,-6.635299000000001,0.0006349677888426932,0.40191612395079135
4,0.00843,-0.00115,-5.872638,-6.535234,0.0009483647256496757,0.6046309084165534
5,0.00823,-0.00148,-6.0814,-6.40943,0.0013267672626390563,0.8483689215782265
6,0.00801,-0.00193,-6.371543,-6.264546,0.0018305987424018834,1.1726748479887683
7,0.00778,-0.00238,-6.662470000000001,-6.115149000000001,0.0023408248589423834,1.499719161405162
8,0.00761,-0.00287,-6.973985000000001,-6.005749,0.0028584583682904553,1.8298857181988508
9,0.00744,-0.00335,-7.2764120000000005,-5.891212,0.003362519485616518,2.1532752893015688
10,0.00721,-0.00388,-7.618741,-5.741948,0.00394592885304217,2.5267306225571
11,0.00703,-0.00443,-7.965406,-5.623641,0.004519567415204793,2.8930271806544967
12,0.00682,-0.00484,-8.231849,-5.49203,0.004982438887646118,3.190202764392462
13,0.0066,-0.00524,-8.482924,-5.350877,0.005432739509453372,3.478235444888964
14,0.00644,-0.00561,-8.720424,-5.24191,0.005842888665249163,3.739539974296702
15,0.00635,-0.0059,-8.900037999999999,-5.181527,0.006147247663801859,3.9290321791099863
16,0.00627,-0.00608,-9.009425,-5.126742,0.006342089394444964,4.051371510455226
17,0.00621,-0.00622,-9.093278999999999,-5.087644,0.0064904050375848565,4.1438925724897695
18,0.00608,-0.00628,-9.139141,-5.008735,0.006632981473225532,4.2351611504616
19,0.00596,-0.00644,-9.257823,-4.938648,0.00683546152162537,4.372992949016941
20,0.00585,-0.00672,-9.453238,-4.875557,0.007134655722772385,4.578340207352668
21,0.00562,-0.00713,-9.732127,-4.734017,0.0076065383882730365,4.891090340719546
22,0.00531,-0.00774,-10.134418,-4.536445,0.008291272387720995,5.339278631357533
23,0.00508,-0.00839,-10.551759,-4.3885130000000006,0.008980855334145865,5.782062310940464
24,0.00484,-0.00903,-10.949931,-4.229266,0.009665401680275913,6.2108985834186665
25,0.00467,-0.00957,-11.274272999999999,-4.1136740000000005,0.010228629351826238,6.55522291225414
26,0.00452,-0.01005,-11.558893000000001,-4.006337,0.010730242788647858,6.859409986221792
27,0.00439,-0.01035,-11.744308,-3.922233,0.011059543335261435,7.0630081321883
28,0.00425,-0.01064,-11.934321,-3.8336449999999997,0.011377199155293114,7.272657300832014
29,0.00417,-0.01101,-12.18663,-3.7890749999999995,0.011754363641956428,7.528872671918527
30,0.00409,-0.01143,-12.476074,-3.738353,0.012185164059783524,7.822727313569804
31,0.004,-0.01196,-12.832260999999999,-3.6872059999999998,0.012727040503264876,8.182567826266748
